HolderAddress;Balance;PendingBalanceUpdate
0x39844158236b98e77205122aafb484749fd6613d;32,657,562.587901927183117414;No
0x6de502458fcc3e7a30fefbf8dd5520936194c9db;11,414,599.130211650713003218;No
0x3fb996ae221b632cddbd1aa72891afb82598f739;9,456,032.286282663562276841;No
0x2394b85ee5d91e8c35df15f707dba1071f7b225e;8,610,130.722710182476905197;No
0x99bcf9dba9c30c5c414ad34441c5fa23f1f812b1;8,402,913.132141136136850991;No
0xd5c6cfca76f66200aa6dfd507b702080f21914e3;7,941,694.76085304782832395;No
0x77f83a1b7d53d9aefcde18916ffb8cea7a6d4cf1;6,967,793.491886888809159995;No
0x5021bc5eaf1829f99aade47852810493aee261fa;6,693,228.617467173595976849;No
0xd29d805a2a179e18d612b06f22ea6b7cd2b20963;6,675,124.061900951456531849;No
0x0a9c069c40294a679ce13055a733232e7c49d0ae;5,558,295.918029303778508984;No
0x89c71ea7e8c886213a736ef580b0b1072d3be071;4,365,581.222363289329179222;No
0x000000000000000000000000000000000000dead;4,265,198.621649623797651175;No
0x64e0f4e72da52474ae00634055ef56b0b8af9c1a;4,002,810.11217441998765153;No
0xc9a23707a18d0283dd6ff0627c7ba0308fa16fb3;3,898,120.722951188165137998;No
0xf502aeeb0cd26b77fa1fc6c8fd3dda759efdc3e5;3,685,683.791706466898590485;No
0x059336341fba2d6121ee7618b9b07b715b3bd9f0;3,668,766.85851946063147424;No
0xa3909718127fe15a31bd295d0de99033ab96d4f6;3,660,781.902891955687917198;No
0x2c293c3393cd63d53a794cde657d51d673b144aa;3,555,130.534759878830902602;No
0x9c22464312ca199f1a8a1e210d60ce647d3ac1bc;3,214,182.662653900677732148;No
0xb2bfece485c5f7586b6137f529e0297e93b7d4ed;2,592,998.424993912844101531;No
0xdf30c1c34ae840aa9499a901d02912056672bd66;2,446,306.597375303158600052;No
0x40d2b52be93c9fe60f660d283e9b04217d5c8d44;2,381,354.687716628706947523;No
0xf823125abe0a1796756c6db41e24c923c6b6a065;2,361,930.151357310435263136;No
0xa02458dd15b2dc8b3c443402fa46c4c0f8c4e5f5;2,294,182.966037573376692441;No
0x6199b83801f8f25249efee36f39d5d9bc25f4316;2,259,288;No
